timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559816878467,471,HTTP Request,200,OK,Thread Group 1-6,text,true,,169,127,2,2,http://localhost:8080/test/charger,471,0,1
1559816878759,462,HTTP Request,200,OK,Thread Group 1-5,text,true,,169,127,2,2,http://localhost:8080/test/charger,462,0,1
1559816878939,451,HTTP Request,200,OK,Thread Group 1-6,text,true,,169,127,2,2,http://localhost:8080/test/charger,451,0,0
1559816879221,442,HTTP Request,200,OK,Thread Group 1-5,text,true,,169,127,3,3,http://localhost:8080/test/charger,441,0,1
1559816879390,471,HTTP Request,200,OK,Thread Group 1-6,text,true,,169,127,3,3,http://localhost:8080/test/charger,471,0,1
1559816879582,576,HTTP Request,200,OK,Thread Group 1-7,text,true,,169,127,3,3,http://localhost:8080/test/charger,575,0,1
1559816879680,483,HTTP Request,200,OK,Thread Group 1-5,text,true,,169,127,3,3,http://localhost:8080/test/charger,483,0,1
1559816879862,470,HTTP Request,200,OK,Thread Group 1-6,text,true,,169,127,2,2,http://localhost:8080/test/charger,470,0,1
1559816880158,475,HTTP Request,200,OK,Thread Group 1-7,text,true,,169,127,2,2,http://localhost:8080/test/charger,475,0,1
1559816880332,454,HTTP Request,200,OK,Thread Group 1-6,text,true,,169,127,2,2,http://localhost:8080/test/charger,454,0,0
1559816880633,605,HTTP Request,200,OK,Thread Group 1-7,text,true,,169,127,2,2,http://localhost:8080/test/charger,605,0,1
1559816880786,495,HTTP Request,200,OK,Thread Group 1-6,text,true,,169,127,2,2,http://localhost:8080/test/charger,495,0,1
1559816881238,518,HTTP Request,200,OK,Thread Group 1-7,text,true,,169,127,3,3,http://localhost:8080/test/charger,518,0,1
1559816881281,519,HTTP Request,200,OK,Thread Group 1-6,text,true,,169,127,3,3,http://localhost:8080/test/charger,519,0,1
1559816881624,483,HTTP Request,200,OK,Thread Group 1-8,text,true,,169,127,3,3,http://localhost:8080/test/charger,483,0,0
1559816881801,476,HTTP Request,200,OK,Thread Group 1-6,text,true,,169,127,3,3,http://localhost:8080/test/charger,476,0,1
1559816882107,495,HTTP Request,200,OK,Thread Group 1-8,text,true,,169,127,2,2,http://localhost:8080/test/charger,495,0,2
